total,EndMessageEvent,Lane,IntermediateMessageEventCatching,Pool,MessageFlow,TextAnnotation,Association_Undirected,SequenceFlow,Task,CollapsedPool,BPMNDiagram,Exclusive_Databased_Gateway,EndNoneEvent,ParallelGateway,InclusiveGateway,StartMessageEvent,StartNoneEvent,StartTimerEvent,DataObject,IntermediateMessageEventThrowing,Association_Unidirectional,IntermediateTimerEvent,DataStore,ITSystem,EndTerminateEvent,EventbasedGateway,CollapsedSubprocess,IntermediateSignalEventCatching,Subprocess,Message,IntermediateLinkEventCatching,IntermediateErrorEvent,ComplexGateway,StartEscalationEvent,EndEscalationEvent,IntermediateConditionalEvent,IntermediateCompensationEventThrowing,EndCompensationEvent,IntermediateCompensationEventCatching,EventSubprocess,StartCompensationEvent,EndCancelEvent,processparticipant,StartSignalEvent,IntermediateEscalationEvent,StartConditionalEvent,EndErrorEvent,IntermediateLinkEventThrowing,Group,Association_Bidirectional,IntermediateMultipleEventCatching,IntermediateEscalationEventThrowing,IntermediateEvent,StartErrorEvent,StartMultipleEvent,EndSignalEvent,IntermediateSignalEventThrowing,IntermediateCancelEvent,CollapsedEventSubprocess,StartParallelMultipleEvent,VerticalLane,VerticalPool,IntermediateParallelMultipleEventCatching,EndMultipleEvent,IntermediateMultipleEventThrowing,ChoreographyTask,ChoreographyParticipant,ChoreographySubprocessExpanded,ChoreographySubprocessCollapsed,CollapsedVerticalPool,fileName,
63,0,7,0,1,3,0,0,20,12,0,1,1,3,2,0,5,1,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001369536.meta.json,
47,0,4,0,1,0,0,0,21,12,0,1,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001469544.meta.json,
16,0,2,0,1,0,0,0,4,3,0,1,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001546256.meta.json,
18,0,1,0,1,0,0,0,7,6,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001589842.meta.json,
17,0,3,0,3,1,1,1,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001829483.meta.json,
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001907585.meta.json,
41,0,4,0,1,0,0,0,19,10,0,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100193728.meta.json,
25,0,0,0,0,0,0,0,13,6,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100201977.meta.json,
23,0,1,0,1,0,1,1,9,1,0,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002174688.meta.json,
14,2,0,0,0,0,0,0,5,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002433722.meta.json,
45,0,2,1,2,2,0,0,18,12,0,1,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002498967.meta.json,
54,0,2,5,2,7,0,0,20,7,0,1,1,3,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002500217.meta.json,
