elements,activities,events,startEvents,endEvents,gateways,lanesAndPools,sequenceFlows,fileName,
0,1,0,1,0,1,1,1,1011817112.meta.json,
1,1,1,0,0,1,1,1,1011821688.meta.json,
0,1,0,0,0,1,0,1,101213990.meta.json,
0,1,0,0,0,1,1,0,1012180590.meta.json,
1,1,1,1,0,1,1,1,1012185802.meta.json,
0,1,0,1,0,1,0,0,1012220286.meta.json,
1,1,1,1,1,1,1,1,101230737.meta.json,
1,1,1,0,0,1,1,1,1012370956.meta.json,
0,1,0,0,0,1,0,1,1012437227.meta.json,
1,1,1,1,1,1,1,1,1012743609.meta.json,
1,1,1,0,0,1,1,1,101281281.meta.json,
1,1,1,1,1,1,1,1,1012896506.meta.json,
1,1,1,1,1,1,0,1,1013194106.meta.json,
0,1,1,0,0,1,0,1,1013254127.meta.json,
0,1,1,0,1,1,1,1,1013385050.meta.json,
0,1,0,0,0,1,0,1,1013472006.meta.json,
0,1,1,1,0,1,0,1,1013671876.meta.json,
0,1,1,1,0,1,0,1,1013962777.meta.json,
0,1,1,1,0,1,1,1,1014071243.meta.json,
1,1,1,0,0,1,1,1,1014225342.meta.json,
1,1,1,1,1,1,1,1,1014293645.meta.json,
1,1,1,0,0,1,1,1,1014335529.meta.json,
0,1,0,0,0,1,0,1,101435818.meta.json,
0,1,1,1,1,1,1,1,1014461262.meta.json,
1,1,1,1,0,1,1,1,1014602753.meta.json,
0,1,1,1,0,1,0,1,1014610976.meta.json,
0,1,0,0,0,1,0,0,1014649280.meta.json,
0,1,1,1,0,1,0,1,1014684167.meta.json,
0,1,1,1,0,1,0,1,1014787172.meta.json,
1,1,1,1,1,1,1,1,1014927748.meta.json,
1,1,1,1,0,1,1,1,1015184967.meta.json,
1,1,1,1,0,1,1,1,1015232874.meta.json,
0,1,1,1,0,1,1,1,1015236059.meta.json,
0,0,0,1,0,1,0,0,1015246966.meta.json,
0,0,0,0,0,1,0,0,1015262916.meta.json,
1,1,1,0,1,1,1,1,1015323430.meta.json,
1,1,1,0,0,1,1,1,1015337813.meta.json,
1,1,1,1,1,1,1,1,1015395443.meta.json,
1,1,1,0,0,1,1,1,101554238.meta.json,
1,1,1,1,1,1,1,1,1015656767.meta.json,
1,1,1,1,1,1,1,1,1015741015.meta.json,
1,1,1,1,1,1,1,1,1015762573.meta.json,
0,1,1,1,1,1,1,1,101578045.meta.json,
1,1,1,1,1,1,1,1,1015819134.meta.json,
1,1,1,0,1,1,1,1,1015840676.meta.json,
1,1,1,0,0,1,1,1,1016144510.meta.json,
0,1,1,1,0,1,1,1,1016244355.meta.json,
1,1,1,1,1,1,1,1,1016249624.meta.json,
1,1,1,1,0,1,1,1,1016273858.meta.json,
0,1,0,0,0,1,0,1,101642429.meta.json,
1,1,1,0,0,1,0,1,1016644416.meta.json,
0,1,0,0,0,1,0,0,1016751564.meta.json,
1,1,1,1,1,1,1,1,1016960034.meta.json,
1,1,1,1,1,1,1,1,1017028191.meta.json,
0,1,1,1,0,1,0,0,1017239030.meta.json,
0,1,0,0,0,1,1,0,1017402496.meta.json,
0,1,1,1,1,1,0,1,1017507635.meta.json,
0,1,0,0,0,1,0,0,1017560117.meta.json,
0,1,0,0,0,1,0,0,1017657322.meta.json,
1,1,1,0,1,1,1,1,1017732719.meta.json,
0,1,1,1,1,1,1,1,101795249.meta.json,
1,1,1,1,1,1,1,1,1017969000.meta.json,
0,1,1,1,1,1,0,1,1017990209.meta.json,
1,1,1,1,0,1,1,1,1018153198.meta.json,
0,1,1,1,1,1,1,0,1018239985.meta.json,
1,1,1,1,1,1,1,1,1018246115.meta.json,
0,1,1,1,1,1,0,1,1018291356.meta.json,
1,1,1,1,0,1,1,1,1018580006.meta.json,
0,1,0,0,0,1,0,1,1018585778.meta.json,
0,1,1,0,0,1,0,1,1018819034.meta.json,
1,1,1,0,0,1,1,1,1019044747.meta.json,
1,1,1,1,0,1,1,1,1019250016.meta.json,
0,1,1,1,1,1,0,1,1019257616.meta.json,
0,1,0,1,1,1,0,0,1019404680.meta.json,
1,1,1,1,1,1,1,1,1019574561.meta.json,
1,1,1,1,1,1,1,1,1019627003.meta.json,
1,1,1,1,1,1,0,1,1019657143.meta.json,
0,1,1,1,1,1,1,0,101967997.meta.json,
0,1,0,0,0,1,0,1,1019706418.meta.json,
0,1,0,0,0,1,1,0,1019751893.meta.json,
0,1,0,0,0,1,0,0,1020129604.meta.json,
1,1,1,1,1,1,1,1,1020496368.meta.json,
1,1,1,1,1,1,1,1,1020722506.meta.json,
0,0,1,1,0,1,1,0,1020811925.meta.json,
0,1,0,0,0,1,0,0,1020975201.meta.json,
0,1,1,1,1,1,0,1,1021091398.meta.json,
1,1,1,0,0,1,1,1,1021118354.meta.json,
1,1,1,1,1,1,1,1,1021181903.meta.json,
0,1,0,0,0,1,0,0,1021255468.meta.json,
1,1,1,1,1,1,1,1,1021404301.meta.json,
1,1,1,0,0,1,1,1,1021422786.meta.json,
1,1,0,0,0,1,0,1,102147676.meta.json,
0,1,0,0,0,1,0,1,1021525987.meta.json,
1,1,1,1,1,1,1,1,1021536804.meta.json,
1,1,1,0,0,1,1,1,1021591858.meta.json,
1,1,1,1,1,1,1,1,1021618104.meta.json,
0,1,0,0,0,1,0,1,1021648949.meta.json,
1,1,1,0,0,1,0,1,1021676957.meta.json,
1,1,1,1,0,1,1,1,1021816658.meta.json,
1,1,1,1,1,1,1,1,1021852499.meta.json,
1,1,1,1,0,1,0,1,102200917.meta.json,
0,1,1,0,0,1,0,1,1022265098.meta.json,
1,1,1,1,1,1,1,1,1022489032.meta.json,
1,1,1,1,0,1,1,1,102261676.meta.json,
0,1,0,0,0,1,1,0,102263233.meta.json,
1,1,1,1,0,1,0,1,1022785501.meta.json,
0,1,1,1,0,1,0,1,102300656.meta.json,
0,1,0,0,0,1,0,1,1023113524.meta.json,
1,1,1,1,1,1,1,1,1023125370.meta.json,
0,1,0,0,0,1,0,1,102313104.meta.json,
1,1,1,1,0,1,1,1,1023163839.meta.json,
1,1,1,1,1,1,1,1,1023546488.meta.json,
0,0,0,0,0,1,0,0,1023662783.meta.json,
1,1,1,1,1,1,1,1,1023959566.meta.json,
0,1,1,1,1,1,1,0,1024215554.meta.json,
0,1,1,0,0,1,1,1,1024221549.meta.json,
1,1,1,1,1,1,1,1,1024396283.meta.json,
1,1,1,1,0,1,1,1,1024425030.meta.json,
0,1,1,0,0,1,0,1,102453938.meta.json,
0,1,0,0,0,1,0,0,1024559312.meta.json,
0,1,1,0,1,1,1,1,1024569312.meta.json,
0,1,1,0,0,1,0,1,1024641911.meta.json,
1,1,1,1,1,1,1,1,1024759920.meta.json,
1,1,1,0,0,1,1,1,1024880952.meta.json,
0,1,1,1,0,1,1,0,1024943999.meta.json,
0,1,0,0,0,1,1,1,1025024885.meta.json,
0,1,1,1,0,1,1,1,1025211006.meta.json,
0,1,1,0,0,1,1,1,1025795204.meta.json,
0,1,1,1,0,1,0,0,1025894190.meta.json,
1,1,1,1,1,1,1,1,1026163270.meta.json,
0,1,1,1,1,1,0,1,1026190307.meta.json,
0,1,1,0,0,1,0,1,1026287908.meta.json,
1,1,1,1,1,1,1,1,1026398871.meta.json,
0,1,1,0,0,1,0,0,1026426675.meta.json,
1,1,1,1,1,1,1,1,1026674280.meta.json,
1,1,1,1,1,1,1,1,1026749804.meta.json,
1,1,1,1,0,1,1,1,1026827159.meta.json,
0,1,1,1,0,1,1,1,1027037016.meta.json,
1,1,1,0,0,1,1,1,102711735.meta.json,
1,1,1,1,0,1,1,1,1027229752.meta.json,
0,1,1,0,1,1,1,1,102743984.meta.json,
0,1,1,1,1,1,0,1,1027478418.meta.json,
1,1,1,1,0,1,1,1,1027484179.meta.json,
1,1,1,1,1,1,1,1,1027490769.meta.json,
0,0,0,0,0,0,0,0,1027569574.meta.json,
0,1,0,1,1,0,1,0,1027737581.meta.json,
0,1,0,0,0,1,0,1,1027972696.meta.json,
0,1,1,1,1,1,0,1,1028168740.meta.json,
1,1,1,1,1,1,1,1,1028377243.meta.json,
0,1,1,0,0,1,1,1,1028391225.meta.json,
1,1,1,1,1,1,1,1,1028592466.meta.json,
1,1,1,0,0,1,0,1,1028670114.meta.json,
0,1,0,1,0,1,0,1,1028878750.meta.json,
1,1,1,1,0,1,1,1,1028943036.meta.json,
1,1,1,1,1,1,1,1,1028972761.meta.json,
0,1,1,1,1,1,0,1,1029013936.meta.json,
0,1,1,0,0,1,0,1,1029021536.meta.json,
0,1,0,0,0,1,0,1,1029167747.meta.json,
1,1,1,1,1,1,1,1,1029285703.meta.json,
1,1,1,1,0,1,0,1,1029566076.meta.json,
1,1,1,1,1,1,1,1,1029651176.meta.json,
1,1,1,1,1,1,1,1,1029888722.meta.json,
0,1,0,0,0,1,0,1,1030199890.meta.json,
1,1,1,1,1,1,1,1,1030222072.meta.json,
1,1,1,0,0,1,1,1,103023911.meta.json,
1,1,1,1,0,1,1,1,1030257731.meta.json,
1,1,1,1,1,1,0,1,1030357664.meta.json,
1,1,1,1,1,1,1,1,1030419971.meta.json,
0,1,0,1,1,1,0,1,103042800.meta.json,
1,1,1,1,1,1,1,1,1030489511.meta.json,
0,1,1,1,1,1,1,1,1030705906.meta.json,
0,1,1,1,0,1,0,1,1030935923.meta.json,
0,1,1,1,0,1,1,1,1031083123.meta.json,
1,1,1,0,0,1,0,1,1031135092.meta.json,
0,1,1,0,0,1,0,1,1031337985.meta.json,
0,1,0,1,0,1,1,1,1031392831.meta.json,
0,1,1,1,1,1,0,1,1031414416.meta.json,
0,1,1,1,0,1,1,1,1031449026.meta.json,
0,1,1,1,0,1,1,0,1031585442.meta.json,
1,1,1,0,0,1,0,1,1031601218.meta.json,
0,1,1,0,0,1,1,0,1031642567.meta.json,
0,1,0,1,1,1,1,1,1031711789.meta.json,
1,1,1,1,1,1,1,1,1031729982.meta.json,
1,1,1,0,0,1,0,1,1031801213.meta.json,
1,1,1,0,0,1,0,1,1031851237.meta.json,
1,1,1,1,1,1,1,1,103186549.meta.json,
0,1,1,1,1,1,1,1,1032099534.meta.json,
0,1,0,0,0,1,0,0,1032261554.meta.json,
